DateTime,SpConductivity,Q,NO3_corrected,TempC,FDOMRFU,Date,diff
2014-04-14 13:47:46,145.330556583525,15.329648264296901,0.18777,13.785,51.0785,2014-04-14 13:47:46,1
2014-04-14 14:02:16,145.32,15.33024,0.17979,15.52,42.23,2014-04-14 14:02:16,0
2014-04-14 14:17:26,145.22,14.80325,0.17487,15.47,42.61,2014-04-14 14:17:26,0
2014-04-14 14:32:36,145.12,14.72873,0.13839,15.45,42.75,2014-04-14 14:32:36,0
2014-04-14 14:47:46,144.89,14.285570000000002,0.16295,15.38,42.88,2014-04-14 14:47:46,0
2014-04-14 15:02:16,144.51,15.55895,0.16109,15.34,43.07,2014-04-14 15:02:16,0
2014-04-14 15:17:26,144.46,16.02148,0.15255,15.3,43.1,2014-04-14 15:17:26,0
2014-04-14 15:32:36,143.94,15.86654,0.14565999999999998,15.22,43.26,2014-04-14 15:32:36,0
2014-04-14 15:47:46,143.59,14.95287,0.14229,15.17,43.56,2014-04-14 15:47:46,0
2014-04-14 16:02:16,143.6,14.432529999999998,0.13945,15.08,43.75,2014-04-14 16:02:16,0
2014-04-14 16:17:26,143.46,15.59723,0.13824,14.92,43.96,2014-04-14 16:17:26,0
2014-04-14 16:32:36,143.33,15.06558,0.13473,14.79,44.13,2014-04-14 16:32:36,0
2014-04-14 16:47:46,143.32,15.48252,0.13260999999999998,14.65,44.28,2014-04-14 16:47:46,0
2014-04-14 17:02:16,143.08,15.71236,0.13125,14.51,44.5,2014-04-14 17:02:16,0
2014-04-14 17:17:26,143.07,15.48252,0.12887,14.34,44.65,2014-04-14 17:17:26,0
2014-04-14 17:32:36,142.87,16.21622,0.12724000000000002,14.2,44.73,2014-04-14 17:32:36,0
2014-04-14 17:47:46,142.73,15.63556,0.12813,14.01,44.97,2014-04-14 17:47:46,0
2014-04-14 18:02:16,142.67,16.25531,0.12647,13.81,45.17,2014-04-14 18:02:16,0
2014-04-14 18:17:26,142.59,15.75084,0.12494,13.6,45.27,2014-04-14 18:17:26,0
2014-04-14 18:32:36,142.51,15.67394,0.12789,13.39,45.44,2014-04-14 18:32:36,0
2014-04-14 18:47:46,142.33,14.87797,0.13024000000000002,13.19,45.49,2014-04-14 18:47:46,0
2014-04-14 19:02:16,142.09,15.67394,0.13071,13.02,45.58,2014-04-14 19:02:16,0
2014-04-14 19:17:26,141.84,15.178720000000002,0.13434,12.86,45.54,2014-04-14 19:17:26,0
2014-04-14 19:32:36,141.77,15.36824,0.13371,12.71,45.56,2014-04-14 19:32:36,0
2014-04-14 19:47:46,141.53,15.027970000000002,0.13235999999999998,12.57,45.65,2014-04-14 19:47:46,0
2014-04-14 20:02:16,141.24,15.027970000000002,0.13602,12.44,45.74,2014-04-14 20:02:16,0
2014-04-14 20:17:26,140.94,14.99039,0.13487000000000002,12.34,45.81,2014-04-14 20:17:26,0
2014-04-14 20:32:36,140.87,15.21653,0.13205999999999998,12.23,45.86,2014-04-14 20:32:36,0
2014-04-14 20:47:46,140.52,15.25439,0.13026,12.13,45.79,2014-04-14 20:47:46,0
2014-04-14 21:02:16,140.43,15.40629,0.13280999999999998,12.02,45.86,2014-04-14 21:02:16,0
2014-04-14 21:17:26,140.31,14.65439,0.1317,11.93,45.9,2014-04-14 21:17:26,0
2014-04-14 21:32:36,140.18,14.9154,0.13145,11.88,45.88,2014-04-14 21:32:36,0
2014-04-14 21:47:46,139.89,15.06558,0.1296,11.8,45.91,2014-04-14 21:47:46,0
2014-04-14 22:02:16,139.6,14.10294,0.12921,11.74,46.04,2014-04-14 22:02:16,0
2014-04-14 22:17:26,139.43,14.6173,0.12777,11.71,46.09,2014-04-14 22:17:26,0
2014-04-14 22:32:36,139.26,16.68845,0.13049000000000002,11.7,46.04,2014-04-14 22:32:36,0
2014-04-14 22:47:46,139.22,15.40629,0.13259,11.69,46.12,2014-04-14 22:47:46,0
2014-04-14 23:02:16,139.1,15.40629,0.12924000000000002,11.68,46.09,2014-04-14 23:02:16,0
2014-04-14 23:17:26,139.05,15.40629,0.13234,11.67,46.12,2014-04-14 23:17:26,0
2014-04-14 23:32:36,138.91,15.40629,0.13047999999999998,11.66,46.18,2014-04-14 23:32:36,0
2014-04-14 23:47:46,138.89,14.58025,0.13516,11.67,46.15,2014-04-14 23:47:46,0
2014-04-15 00:02:16,138.68,15.44438,0.13562000000000002,11.7,46.11,2014-04-15 00:02:16,0
2014-04-15 00:17:26,138.73,15.33024,0.13307,11.71,46.14,2014-04-15 00:17:26,0
2014-04-15 00:32:36,138.6,14.65439,0.13673,11.72,46.16,2014-04-15 00:32:36,0
2014-04-15 00:47:46,138.5,15.29229,0.13725,11.72,46.2,2014-04-15 00:47:46,0
2014-04-15 01:02:16,138.56,15.06558,0.13876,11.74,46.2,2014-04-15 01:02:16,0
2014-04-15 01:17:26,138.63,15.14096,0.13882,11.78,46.25,2014-04-15 01:17:26,0
2014-04-15 01:32:36,138.77,15.14096,0.14005,11.8,46.3,2014-04-15 01:32:36,0
2014-04-15 01:47:46,138.97,14.39572,0.13674,11.82,46.32,2014-04-15 01:47:46,0
2014-04-15 02:02:16,138.87,15.06558,0.1417,11.86,46.38,2014-04-15 02:02:16,0
2014-04-15 02:17:26,139.01,13.70534,0.14306,11.88,46.08,2014-04-15 02:17:26,0
2014-04-15 02:32:36,139.44,14.432529999999998,0.14140999999999998,11.9,46.38,2014-04-15 02:32:36,0
2014-04-15 02:47:46,139.6,14.54325,0.14107,11.9,46.32,2014-04-15 02:47:46,0
2014-04-15 03:02:16,139.6,14.17585,0.14152,11.91,46.52,2014-04-15 03:02:16,0
2014-04-15 03:17:26,140.04,15.29229,0.14131,11.92,46.52,2014-04-15 03:17:26,0
2014-04-15 03:32:36,139.89,14.65439,0.14328,11.93,46.63,2014-04-15 03:32:36,0
2014-04-15 03:47:46,140.33,14.80325,0.1446,11.94,46.64,2014-04-15 03:47:46,0
2014-04-15 04:02:16,140.41,14.76597,0.14142000000000002,11.93,46.65,2014-04-15 04:02:16,0
2014-04-15 04:17:26,140.42,14.285570000000002,0.14245,11.92,46.81,2014-04-15 04:17:26,0
2014-04-15 04:32:36,140.79,14.72873,0.142745,11.93,46.59,2014-04-15 04:32:36,0
2014-04-15 04:47:46,141.27,14.72873,0.14304,11.94,46.74,2014-04-15 04:47:46,0
2014-04-15 05:02:16,140.99,14.84059,0.14092000000000002,11.93,46.6,2014-04-15 05:02:16,0
2014-04-15 05:17:26,141.6,15.63556,0.14515999999999998,11.92,46.87,2014-04-15 05:17:26,0
2014-04-15 05:32:36,141.95,14.84059,0.14493,11.93,46.69,2014-04-15 05:32:36,0
2014-04-15 05:47:46,141.77,14.95287,0.14152,11.92,46.95,2014-04-15 05:47:46,0
2014-04-15 06:02:16,142.67,15.44438,0.14164000000000002,11.93,47.05,2014-04-15 06:02:16,0
2014-04-15 06:17:26,142.89,14.76597,0.13865999999999998,11.96,47.17,2014-04-15 06:17:26,0
2014-04-15 06:32:36,142.73,14.65439,0.13512000000000002,12.0,47.21,2014-04-15 06:32:36,0
2014-04-15 06:47:46,142.62,13.56218,0.13185,12.07,47.33,2014-04-15 06:47:46,0
2014-04-15 07:02:16,142.75,14.17585,0.12957,12.12,47.46,2014-04-15 07:02:16,0
2014-04-15 07:17:26,143.02,13.74124,0.1295,12.16,47.59,2014-04-15 07:17:26,0
2014-04-15 07:32:36,143.04,14.95287,0.12982,12.19,47.61,2014-04-15 07:32:36,0
2014-04-15 07:47:46,143.31,15.25439,0.12774000000000002,12.25,47.65,2014-04-15 07:47:46,0
2014-04-15 08:02:16,143.16,14.10294,0.12514,12.27,47.61,2014-04-15 08:02:16,0
2014-04-15 08:17:26,143.37,13.34886,0.12547,12.31,47.71,2014-04-15 08:17:26,0
2014-04-15 08:32:36,143.26,14.06656,0.12439,12.38,47.69,2014-04-15 08:32:36,0
2014-04-15 08:47:46,143.47,13.84925,0.12298,12.44,47.64,2014-04-15 08:47:46,0
2014-04-15 09:02:16,143.53,14.84059,0.11993,12.53,47.65,2014-04-15 09:02:16,0
2014-04-15 09:17:26,143.33,13.95769,0.1195,12.64,47.6,2014-04-15 09:17:26,0
2014-04-15 09:32:36,143.61,14.46939,0.11839,12.75,47.6,2014-04-15 09:32:36,0
2014-04-15 09:47:46,143.58,13.66947,0.11793,12.86,47.56,2014-04-15 09:47:46,0
2014-04-15 10:02:16,143.66,14.80325,0.11351,12.99,47.56,2014-04-15 10:02:16,0
2014-04-15 10:17:26,143.54,15.027970000000002,0.11216,13.19,47.44,2014-04-15 10:17:26,0
2014-04-15 10:32:36,143.92,14.80325,0.112315,13.22,47.48,2014-04-15 10:32:36,0
